date,confirm,suspect,dead,heal
10.23,8137786,0,27881,352868
10.24,8165043,0,27950,353392
10.25,8205171,0,28002,353910
10.26,8246496,0,28061,354455
10.27,8283181,0,28153,354947
10.28,8318921,0,28217,355417
10.29,8352484,0,28301,355864
10.3,8385213,0,28389,356301
10.31,8409023,0,28460,356637
11.01,8444367,0,28518,357103
11.02,8478830,0,28579,357626
11.03,8510115,0,28670,358088
11.04,8538758,0,28755,358644
11.05,8565587,0,28840,359149
11.06,8591083,0,28900,359672
11.07,8609153,0,28939,360050
11.08,8635852,0,28958,360541
11.09,8662662,0,29037,361114
11.1,8686925,0,29112,361821
11.11,8709454,0,29184,362556
11.12,8731122,0,29250,363304
11.13,8752311,0,29320,364105
11.14,8771347,0,29370,364831
11.15,8792321,0,29426,365806
11.16,8818365,0,29503,366659
11.17,8841863,0,29592,367982
11.18,8862956,0,29657,369163
11.19,8882454,0,29726,370595
11.2,8901981,0,29784,371872
11.21,8917011,0,29838,373198
11.22,8938818,0,29889,374877
11.23,8961750,0,29932,377014
11.24,8981987,0,30010,379092
11.25,9000592,0,30082,381286
11.26,9018455,0,30121,383678
11.27,8998177,0,30166,386020
11.28,9051741,0,30233,389050
11.29,9074256,0,30267,391956
11.3,9097303,0,30320,394736
12.01,9118328,0,30388,397948
12.02,9137495,0,30428,401622
12.03,9155969,0,30480,405226
12.04,9174505,0,30525,409399
12.05,9190921,0,30567,412945
12.06,9212751,0,30605,417181
12.07,9235320,0,30653,421300
12.08,9255924,0,30717,425449
12.09,9275059,0,30772,430525
12.1,9293435,0,30817,435439
12.11,9311491,0,30879,439557
12.12,856117,0,30935,443791
12.13,9347275,0,30984,447586
12.14,9368776,0,31057,450696
12.15,9388639,0,31113,453352
12.16,9407919,0,31169,456537
12.17,9427036,0,31235,458753
12.18,9446004,0,31309,460640
12.19,9460711,0,31378,463060
12.2,9482570,0,31431,465652
12.21,9506895,0,31509,468612
